Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
873,Stephane Yelle,34,BOS,C,77,7,11,18,6,32,6,1,0,2,72,9.7,1022,13:16
874,Mike York,31,CBJ,LW,1,0,0,0,0,0,0,0,0,0,1,0.0,13,13:15
875,Travis Zajac,23,NJD,C,82,20,42,62,33,29,14,5,1,2,185,10.8,1529,18:39
876,Greg Zanon,28,NSH,D,82,4,7,11,8,38,4,0,0,1,54,7.4,1710,20:51
877,Richard Zednik,33,FLA,RW,70,17,16,33,2,46,14,3,0,4,153,11.1,1091,15:35
878,John Zeiler,26,LAK,RW,27,0,1,1,-2,42,0,0,0,0,3,0.0,177,6:33
879,Henrik Zetterberg,28,DET,LW,77,31,42,73,13,36,17,12,2,5,309,10.0,1531,19:53
880,Nikolai Zherdev,24,NYR,W,82,23,35,58,6,39,18,4,1,3,219,10.5,1380,16:50
881,Marek Zidlicky,31,MIN,D,76,12,30,42,-12,76,2,10,0,3,147,8.2,1680,22:07
882,Mike Zigomanis,28,PIT,C,22,2,4,6,-2,27,2,0,0,0,23,8.7,251,11:26
883,Ilya Zubov,21,OTT,C,10,0,2,2,-1,0,0,0,0,0,11,0.0,103,10:17
884,Sergei Zubov,38,DAL,D,10,0,4,4,-4,0,0,0,0,0,15,0.0,243,24:18
885,Dainius Zubrus,30,NJD,C/RW,82,15,25,40,6,69,14,1,0,3,130,11.5,1252,15:16
